主题,子主题,公司,业绩,归母同比,归母环比,归母上年同期(亿),扣非同比,扣非环比,扣非上年同期(亿),主营业务,原因,舆论,是否最新,是否关注
其他产业链,其他,焦作万方（000612）~119亿,🟢 同向上升,+118.35%,待补（研究中）,5.36,+116.93%,待补（研究中）,5.34,电解铝,报告期内，公司业绩增长的主要原因：电解铝价格较上年同期保持高位运行，公司加强销售管理、优化销售策略，择机销售期初库存产品，本报告期营业收入实现同比增长；另外，报告期内公司主要原材料氧化铝采购价格同比下降，叠加公司不断优化主要原材料的采购策略,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,国药现代（600420）~117亿,🔴 同向下降,-63.54% ~ -54.61%,待补（研究中）,2.45,待补（研究中）,待补（研究中）,4.12,化学药制剂,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,翔鹭钨业（002842）~116亿,🟢 同向上升,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,0.09,钨制品加工,报告期内，公司作为国内主要钨制品及钨材制造商，产品销量平稳，主营产品受益于钨价上涨带来营收增长，原材料的价格上涨到下游产品的传导较为顺畅，为业绩增长提供重要支撑。股票代码：002842股票简称：翔鹭钨业公告编号：2026-045,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,舍得酒业（600702）~115亿,🔴 预减,-69.55% ~ -60.52%,待补（研究中）,4.43,-72.00% ~ -62.90%,待补（研究中）,4.39,白酒酿造,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,法狮龙（605318）~114亿,🔴 同向下降,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,集成吊顶、家居建材,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,常青科技（603125）~108亿,🟢 同向上升,+85.22% ~ +113.10%,待补（研究中）,0.70,+91.64% ~ +120.49%,待补（研究中）,0.66,高分子材料（特种单体）,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,诚志股份（000990）~106亿,🟢 同向上升,待补（研究中）,待补（研究中）,0.19,待补（研究中）,待补（研究中）,0.30,化工（液晶、生物医药）,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,品高股份（688227）~106亿,🟢 同向上升,待补（研究中）,待补（研究中）,亏损-0.16,待补（研究中）,待补（研究中）,亏损-0.19,云计算（政务云、行业云）,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,陕建股份（600248）~104亿,🔴 同向下降,-71.77% ~ -81.18%,待补（研究中）,9.53,-109.47% ~ -114.20%,待补（研究中）,7.65,建筑工程,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,中泰化学（002092）~101亿,🟢 同向上升,+128.33% ~ +142.24%,待补（研究中）,亏损1.94,+74.67% ~ +87.10%,待补（研究中）,亏损2.17,PVC、氯碱化工,报告期内，公司归属于上市公司股东的净利润实现扭亏为盈。生产经营层面，公司深耕核心主业、持续推进提质增效与产品结构优化，加大创新研发力度，氯碱化工盈利水平保持稳定，煤化工甲醇产品依托成本优势，产销规模稳定释放，成为公司稳定盈利的重要增量，纺织,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,盘江股份（600395）~99亿,🟢 同向上升,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,煤炭开采,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,北化股份（002246）~98亿,🟢 同向上升,+87.39% ~ +134.24%,待补（研究中）,1.07,+118.70% ~ +173.37%,待补（研究中）,0.82,硝化棉、防护化工,报告期内，公司业绩较上年同期增长的主要原因是硝化棉相关产品毛利率水平提高，预计归属于上市公司股东的净利润比上年同期增长87.39%-134.24%。-2-,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,城投控股（600649）~89亿,🔴 同向下降,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,房地产开发,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,天和磁材（603072）~89亿,🟢 同向上升,+36.56% ~ +73.98%,待补（研究中）,0.53,+91.94% ~ +148.39%,待补（研究中）,0.35,稀土永磁材料,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,三维通信（002115）~88亿,🟢 同向上升,+1428.58% ~ +2001.80%,待补（研究中）,0.03,+762.93% ~ +1094.39%,待补（研究中）,亏损0.05,通信网络设备、卫星通信,1、本报告期内，公司互联网业务收入实现增长，主要受市场需求波动驱动。2025年第四季度以来，短剧、漫剧等内容商业模式快速迭代，市场推广需求显著提升，行业迎来阶段性红利窗口。公司紧抓市场机遇，积极布局相关业务，有效把握流量与变现机会，推动互联,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,亿道信息（001314）~87亿,🟢 同向上升,待补（研究中）,待补（研究中）,0.11,+634.15% ~ +889.37%,待补（研究中）,0.12,消费电子（平板、AR/VR代工）,2026年上半年，公司整体经营业绩向好，归属于上市公司股东的净利润较上年同期实现大幅增长，主要原因如下：21.报告期内，AI技术在智能工业、智慧办公等应用场景的渗透率持续提升，为公司下游需求提供了有力支撑。公司持续推进“AI+”战略，围绕客,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,嘉化能源（600273）~86亿,🔴 同向下降,-56.94% ~ -65.55%,待补（研究中）,3.31,-37.65% ~ -47.10%,待补（研究中）,1.99,化工（氯碱、脂肪醇）,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,中粮科技（000930）~83亿,🔴 同向下降,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,0.32,玉米深加工、生物燃料,报告期内，公司归属于上市公司股东的净利润为亏损，受供需因素影响，原料玉米价格偏强运行，木薯原料价格持续上涨，公司主要原料采购成本同比增加；而主要产品燃料乙醇、淀粉、淀粉糖、柠檬酸等价格涨幅远低于原料成本涨幅，原成差持续收窄，盈利能力受到较大,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,兰石重装（603169）~83亿,🔴 同向下降,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,亏损-1.80,石化装备、核电设备,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,抚顺特钢（600399）~81亿,🔴 预亏,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,特殊钢,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,开滦股份（600997）~80亿,🔴 预亏,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,煤炭开采,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,万东医疗（600055）~76亿,🔴 同向下降,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,医学影像设备,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,九芝堂（000989）~70亿,🟢 同向上升,+67.63% ~ +83.63%,待补（研究中）,1.44,+63.36% ~ +81.02%,待补（研究中）,1.36,中成药（心脑血管等）,1、哈尔滨吉象隆生物技术有限公司于2025年11月纳入本公司合并报表范围，报告期内，该公司生产经营情况良好，带动本公司净利润同比增长。2、本公司原有主营业务板块的架构优化调整与营销体系变革已逐步显现成效，大部分产品销量提升，同时通过深化精益,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,航天晨光（600501）~68亿,🔴 同向下降,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,亏损-0.40,航天军工装备、环卫设备,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,银龙股份（603969）~67亿,🟢 预增,+30.00% ~ +60.00%,待补（研究中）,1.72,+30.00% ~ +60.00%,待补（研究中）,1.72,预应力钢材、高铁轨道板,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,华锦股份（000059）~65亿,🟢 同向上升,+135.38% ~ +140.44%,待补（研究中）,待补（研究中）,+132.31% ~ +137.28%,待补（研究中）,待补（研究中）,石化（化肥、化工）,报告期内，全球原油供需格局出现阶段性调整，带动化工产品市场价格上涨。叠加公司低价原油库存释放，支撑公司盈利能力提高；同时，公司抢抓市场机遇，通过强化生产经营管控、优化产品结构调整、深挖降本增效潜力等一系列举措，经营状况较上年同期有所改善。,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,红旗连锁（002697）~60亿,🔴 同向下降,-5.27% ~ -2.06%,待补（研究中）,待补（研究中）,+4.76% ~ +8.19%,待补（研究中）,2.62,便利店连锁零售,2026年上半年，公司持续优化线下门店布局，深耕差异化经营策略，单店产出与盈利质效表现优异；24小时云值守门店数量突破千家；同时大力推广预售经营模式，加快线上线下渠道融合布局，合作联名品牌矩阵持续扩容。公司全新打造的“红旗优生活”平台已上线,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,苏州科达（603660）~60亿,🔴 预亏,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,视频会议、安防,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,冰川网络（300533）~59亿,🔴 同向下降,-105.51% ~ -107.74%,待补（研究中）,待补（研究中）,-115.44% ~ -117.80%,待补（研究中）,3.19,网络游戏,报告期内，影响公司业绩变动的主要原因：本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。1.报告期内，基于前期游戏产品测试数据，公司持续对SLG类新产品《X-Clash》开展大规模市场投放，销售费,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,新朋股份（002328）~57亿,🟢 同向上升,+298.77% ~ +407.52%,待补（研究中）,待补（研究中）,-35.29% ~ -55.63%,待补（研究中）,0.54,精密金属冲压、汽车零部件,本业绩预告期内，公司归属于上市公司股东的净利润、扣除非经常性损益后的净利润变动原因如下：1、公司2026年上半年归属于上市公司股东的净利润较上年同期增长，主要系公司投资收益增加及持有的非交易性金融资产公允价值变动收益增加所致，预计2026年,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,勤上股份（002638）~56亿,🔴 同向下降,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,亏损-0.36,半导体照明、教育,报告期内，受整体宏观经济及行业竞争等影响，公司销售订单量有所下降以及工程施工进度放缓，导致公司本期营业收入同比下降约30%，导致公司本期整体毛利下降，影响本期净利润；报告期内，公司受人民币持续升值的影响，产生汇兑损失增加，影响本期净利润；报,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,慈星股份（300307）~55亿,🟢 同向上升,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,0.83,针织机械,"报告期内，公司业绩增长的主要原因系本期电脑横机产品销售收入增长；同时公司产品结构持续优化，高端机型销售占比提升，带动整体产品综合毛利率上行，共同推动经营业绩同比大幅增长。经初步测算，预计非经常性损益对当期净利润的影响约为1,500万元。",暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,岳阳林纸（600963）~54亿,🔴 预亏,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,造纸、林业,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,红太阳（000525）~53亿,🟢 同向上升,+145.58% ~ +150.37%,待补（研究中）,亏损2.08,+80.97% ~ +85.20%,待补（研究中）,亏损2.37,农药（百草枯等）,报告期内，公司归母净利润实现扭亏为盈，主要系主业经营持续改善及子公司债务重组收益确认所致。预计本期非经常性损益约1.38亿元，主要来自上述债务重组收益。扣非后净利润亏损同比、环比均有所收窄。,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,同兴达（002845）~51亿,🟢 同向上升,+131.03% ~ +141.38%,待补（研究中）,亏损0.29,+105.76% ~ +107.49%,待补（研究中）,亏损0.35,液晶显示模组、摄像头模组,公司2026年半年度净利润比上年同期有较大幅度增长，主要原因是上半年公司子公司昆山日月同芯半导体有限公司先进封测业务订单充足，稼动率高位运行，经营业绩大幅减亏所致。,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,泉阳泉（600189）~51亿,🔴 预增,-65.00%,待补（研究中）,0.15,待补（研究中）,待补（研究中）,0.25,矿泉水、园林,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,福华尚纬（603333）~49亿,🟢 预盈,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,特种电缆,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,瑞泰科技（002066）~48亿,🔴 同向下降,待补（研究中）,待补（研究中）,0.23,待补（研究中）,待补（研究中）,0.18,耐火材料,报告期内，下游行业需求持续疲软，市场竞争加剧，公司产品售价整体承压走低，同时产能利用率有所下滑，成本端压力凸显，综合毛利率较上年同期下降，导致主业盈利空间收窄。,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,广田集团（002482）~47亿,🔴 同向下降,待补（研究中）,待补（研究中）,亏损0.72,待补（研究中）,待补（研究中）,亏损0.73,建筑装饰工程,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,天威视讯（002238）~45亿,🟢 同向上升,待补（研究中）,待补（研究中）,亏损0.27,待补（研究中）,待补（研究中）,亏损0.41,有线电视、广电5G,公司归属于上市公司股东的净利润、归属于上市公司股东的扣除非经常性损益的净利润同比下降的主要原因是受行业变化和市场激烈竞争等因素影响，公司有线电视、有线宽带、节目传输等基础业务收入以及有线电视网络覆盖业务收入同比下降，相应导致公司利润下降。,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,天府文旅（000558）~42亿,🔴 同向下降,待补（研究中）,待补（研究中）,0.07,待补（研究中）,待补（研究中）,0.06,文旅、房地产开发,公司2026年上半年业绩出现亏损主要系下属西岭雪山景区受气候和交通索道改造限流等影响，导致收入与利润下降。,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,晋亿实业（601002）~42亿,🟢 预增,+57.67% ~ +87.50%,待补（研究中）,1.17,+40.36% ~ +66.67%,待补（研究中）,1.14,紧固件、高铁扣件,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,富春环保（002479）~42亿,🟢 同向上升,+60.00% ~ +80.00%,待补（研究中）,待补（研究中）,+90.00% ~ +110.00%,待补（研究中）,1.33,热电、固废处理,报告期内，公司有色金属资源化利用业务板块的主要产品价格较上年同期有较大涨幅，对应营业收入及盈利水平较上年同期均实现较大幅度增长。,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,四环生物（000518）~42亿,🔴 同向下降,-197.06% ~ -107.94%,待补（研究中）,待补（研究中）,-184.30% ~ -100.68%,待补（研究中）,亏损-0.12,生物制药（重组人胰岛素等）,本报告期公司业绩亏损的主要原因为：报告期内，控股子公司北京四环生物制药有限公司受省际联盟药品集中带量采购政策影响，主要中标产品售价下滑，导致营业收入同比下降，亏损同比增加。,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,博隆技术（603325）~41亿,🔴 同向下降,-56.69% ~ -63.70%,待补（研究中）,待补（研究中）,-56.69% ~ -63.70%,待补（研究中）,待补（研究中）,气力输送系统（石化）,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,惠博普（002554）~40亿,🔴 同向下降,待补（研究中）,待补（研究中）,0.44,待补（研究中）,待补（研究中）,0.38,油气工程服务、环保装备,"报告期内，公司归属于上市公司股东的净利润为负值，主要是由于：1、2026年上半年，受国际局势紧张影响，公司海外项目执行进度放缓，导致营业收入确认较上年同期有所下滑；2、受汇率波动影响，本期汇兑损失较上年同期增加6,765万元；3、上年同期收",暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,云维股份（600725）~39亿,🔴 预亏,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,亏损-0.01,煤化工贸易,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,天沃科技（002564）~37亿,🔴 同向下降,待补（研究中）,待补（研究中）,亏损0.09,待补（研究中）,待补（研究中）,0.01,能源工程、军工装备,报告期内，公司归属于上市公司股东的净利润出现亏损，主要原因如下：受国际环境不确定性影响，大型石油化工、煤化工投资项目放缓，传统石化装备市场需求不足，市场竞争加剧，公司高端装备制造业务年初在手订单同比有所减少，毛利率有所下滑，使得报告期内可实,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,六国化工（600470）~36亿,🔴 同向下降,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,磷肥、化工,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,华茂股份（000850）~35亿,🔴 同向下降,待补（研究中）,待补（研究中）,0.97,+89.74% ~ +165.64%,待补（研究中）,0.26,棉纺纱、混纺纱,报告期内，公司坚持以市场为导向，不断加大客户和产品结构调整，持续强化新品研发，纺织主营业务盈利水平相比上年同期有较大幅度提升；但由于公司持有的交易性金融资产与2025年半年度末相比公允价值变动损益和投资收益的影响，导致报告期内归属于上市公司,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,统一股份（600506）~35亿,🟢 预增,待补（研究中）,待补（研究中）,待补（研究中）,-105.98%,待补（研究中）,0.69,润滑油、新能源冷却液,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,设计总院（603357）~35亿,🔴 同向下降,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,工程勘察设计,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,哈森股份（603958）~34亿,🟢 同向上升,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,皮鞋服饰,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,亚世光电（002952）~33亿,🟢 同向上升,+120.03% ~ +229.69%,待补（研究中）,0.05,待补（研究中）,待补（研究中）,0.01,液晶显示模组,2026年上半年，公司预计归属于上市公司股东的净利润同比出现较大幅度增长，主要原因说明如下：1、营业收入增加使公司毛利有所增加，进而使归属于上市公司股东的净利润有所增加；2、原材料采购折让增加，使归属于上市公司股东的净利润增加；3、存货跌价,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,中关村（000931）~32亿,🔴 同向下降,-177.30% ~ -164.42%,待补（研究中）,待补（研究中）,-189.54% ~ -175.97%,待补（研究中）,0.37,医药、养老地产,"公司报告期业绩预计归母净利润为-3,000万元至-2,500万元，与上年同期相比下降177.30%至164.42%，业绩下降的主要原因：公司心血管线核心产品盐酸贝尼地平片（注册商标：元治®）2026年进入第十一批国家药品集中带量采购执标期，",暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,安凯客车（000868）~32亿,🔴 同向下降,-88.58% ~ -91.85%,待补（研究中）,0.18,-222.14%,待补（研究中）,0.05,客车整车,"报告期内公司营收同比增长，归母净利润同比下降，主要系汇率波动推高财务费用上涨等因素所致。项目本报告期上年同期归属于上市公司股东的净利润盈利：150万元–210万元盈利：1,839.58万元比上年同期下降：88.58%–91.85%扣除非经常",暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,中央商场（600280）~31亿,🔴 预亏,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,百货零售,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,东贝集团（601956）~30亿,🔴 同向下降,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,压缩机、制冷设备,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,元祖股份（603886）~30亿,🔴 同向下降,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,烘焙食品（蛋糕、月饼）,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,交投生态（002200）~29亿,🟢 同向上升,待补（研究中）,待补（研究中）,亏损0.61,待补（研究中）,待补（研究中）,亏损0.35,园林生态工程,"报告期内，一方面公司加快推进在手订单的实施，实现营业收入、净利润较上年同期增长。另一方面，根据公司与四川易园园林集团有限公司“股权转让纠纷”诉讼案二审判决结果，结合相关会计准则要求，公司将已计提的预计负债进行转回，确认非经常性损益约2,50",暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,泰尔股份（002347）~29亿,🟢 同向上升,+8.33% ~ +17.47%,待补（研究中）,待补（研究中）,+3.02% ~ +21.25%,待补（研究中）,亏损-0.27,冶金智能装备、机器人,报告期内，公司归属于上市公司股东的净利润亏损的主要原因：1、公司积极布局战略产业，加大业务布局、产品升级等投入。2、公司部分应收账款账龄延长，本期计提信用减值损失。3、依据《企业会计准则》及公司会计政策相关规定，公司对截至2026年6月各项,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,德生科技（002908）~28亿,🔴 同向下降,-381.86% ~ -415.68%,待补（研究中）,0.09,-486.24% ~ -545.66%,待补（研究中）,0.07,社保社保卡服务、AI政务,"报告期内，公司经营业绩承压，主要原因为公司所在行业普遍处于业务转型项目本报告期上年同期归属于上市公司股东的净利润亏损：2,500.00万元-2,800.00万元盈利：886.98万元比上年同期下降：381.86%-415.68%扣除非经常性",暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,北京文化（000802）~27亿,🔴 同向下降,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,影视文化,2026年上半年，归属于上市公司股东的净利润较上年同期减亏，主要是上年同期公司上映的电影票房不及预期，导致亏损较大。公司后续将全面整合优质资源，持续深耕主业，拓展业务空间，提升盈利能力，创作更多优质影视作品。,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,广弘控股（000529）~27亿,🔴 同向下降,-49.68% ~ -60.56%,待补（研究中）,0.74,-184.15% ~ -207.72%,待补（研究中）,0.59,肉类食品、教育,本报告期内业绩同比下降主要原因：一是受生猪市场行情波动影响，报告期内生猪销售均价出现较大回落，导致公司农牧板块盈利水平同比下降。公司正通过优化产品结构、严控成本费用等方式积极应对行业周期波动；二是公司取得广东新华发行集团股份有限公司的分红收,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,金麒麟（603586）~25亿,🔴 预减,-83.96%,待补（研究中）,0.90,-87.98%,待补（研究中）,0.93,汽车刹车片,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,米奥会展（300795）~25亿,🔴 同向下降,待补（研究中）,待补（研究中）,0.16,待补（研究中）,待补（研究中）,0.13,会展服务,报告期内，公司营业收入和净利润与去年同期相比均下降，主要系受国际地缘冲突的影响，公司原计划于2026年6月在阿联酋举办的约千个展位规模的线下展会取消。,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,天润乳业（600419）~24亿,🟢 预盈,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,乳制品,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,丽岛新材（603937）~23亿,🟢 同向上升,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,铝材加工,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,龙泉股份（002671）~22亿,🔴 同向下降,-90.63% ~ -87.29%,待补（研究中）,0.37,-92.99% ~ -89.49%,待补（研究中）,0.36,预应力钢筒混凝土管（水利）,公司2026年半年度业绩变动主要原因如下：本报告期，公司经营业绩较上年同期出现较大幅度下降，主要系核心业务板块PCCP业务阶段性收入下滑所致。具体来看，西北、华南等区域前期执行的重大PCCP项目订单已进入收尾阶段，本期供货量同比大幅减少；而,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,交大思诺（300851）~20亿,🟢 同向上升,+21.36% ~ +62.39%,待补（研究中）,待补（研究中）,+28.27% ~ +78.65%,待补（研究中）,0.10,轨道交通信号系统,报告期内，公司经营业绩较上年同期实现同比增长，主要原因如下：1、报告期内，得益于前期业务的持续积累以及本期交付验收工作的有序推进，已完成项目的确认收入较上年同期实现稳步增长，带动当期营业收入及归属于上市公司股东的净利润均实现提升。2、报告期,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,大庆华科（000985）~19亿,🔴 同向下降,-61.39% ~ -50.35%,待补（研究中）,待补（研究中）,-106.27% ~ -103.76%,待补（研究中）,待补（研究中）,石化（聚丙烯等）,报告期内，大庆华科股份有限公司（以下简称“公司”）业绩同比下滑，主要是受中东地缘冲突影响，国际原油大幅震荡，带动公司原料采购成本及产品销售价格波动加剧，下游客户观望情绪明显，原料价格波动与产品价格波动存在时间错配，最终导致公司毛利率压缩，本,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,永安林业（000663）~17亿,🔴 同向下降,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,待补（研究中）,林业、人造板,公司2026年半年度业绩预亏的主要原因：一是生物质能项目停止建设，发生相关诉讼费且预计将计提相关资产减值损失，—2—具体减值金额将依据公司聘请的评估机构及审计机构的评估和审计认定金额为准；二是公司收到的政府补助同比减少。,暂无机构一致预期数据（研究中）,最新披露,
其他产业链,其他,凤竹纺织（600493）~16亿,🟢 同向上升,待补（研究中）,待补（研究中）,0.08,待补（研究中）,待补（研究中）,0.03,纺织印染,待补（研究中）,暂无机构一致预期数据（研究中）,最新披露,
